,TempHighF,TempAvgF,TempLowF,DewPointHighF,DewPointAvgF,DewPointLowF,HumidityHighPercent,HumidityAvgPercent,HumidityLowPercent,SeaLevelPressureAvgInches,VisibilityHighMiles,VisibilityAvgMiles,VisibilityLowMiles,WindHighMPH,WindAvgMPH,WindGustMPH,PrecipitationSumInches
1000,95,85,75,74,71,68,94,69,44,29.92,10,10,10,9,2,12
1001,96,85,75,75,72,70,90,67,46,29.94,10,10,10,7,1,0.0
1002,98,87,75,75,73,71,94,70,45,29.93,10,10,10,8,2,12
1003,99,88,76,75,73,71,94,68,42,29.97,10,10,10,10,3,16
1004,99,87,75,75,71,65,94,66,38,30.01,10,10,10,10,3,17
1005,96,86,75,75,69,61,91,62,33,29.99,10,10,7,10,2,13
1006,94,82,70,74,69,65,84,64,44,29.95,10,10,10,14,5,18
1007,93,85,76,77,74,72,94,73,52,29.96,10,9,2,14,5,20
1008,97,87,77,76,74,72,94,72,49,29.95,10,10,4,15,5,23
1009,88,79,70,76,73,69,100,83,65,29.98,10,9,0,13,4,21
1010,73,70,67,72,69,62,100,89,78,30.08,10,7,1,13,6,20
1011,80,74,67,64,62,61,87,71,54,30.07,10,10,10,9,3,13
1012,89,77,65,65,60,52,93,61,29,30.04,10,10,10,8,1,11
1013,86,75,63,62,55,50,87,61,34,30.15,10,10,10,12,5,21
1014,83,72,60,55,52,50,73,54,34,30.14,10,10,10,8,2,12
1015,80,70,59,61,56,53,87,65,42,30.06,10,10,10,7,1,13
1016,85,72,58,60,58,53,93,65,37,30.02,10,10,10,8,2,11
1017,87,75,62,64,61,59,90,66,42,29.91,10,10,9,10,3,14
1018,91,81,70,72,69,65,90,69,47,29.8,10,10,8,12,5,20
1019,92,84,75,74,72,68,94,72,49,29.87,10,10,10,13,5,21
1020,92,84,76,74,72,68,94,71,47,29.91,10,10,10,16,5,23
1021,89,76,63,73,69,58,94,74,53,30.02,10,10,7,16,5,26
1022,86,74,61,63,60,57,90,69,48,30.18,10,10,10,9,5,16
1023,84,71,58,58,47,41,73,49,24,30.21,10,10,10,8,4,14
1024,84,68,52,52,46,39,83,53,23,30.16,10,10,10,7,1,11
1025,88,71,53,59,53,48,83,57,30,30.09,10,10,10,9,1,13
1026,91,76,61,72,65,57,84,66,47,30.04,10,10,10,10,3,17
1027,89,79,68,73,69,62,94,73,51,30.09,10,10,4,12,2,16
1028,87,77,67,71,67,62,100,74,48,30.1,10,7,0,14,3,24
1029,91,81,71,71,70,67,93,70,47,30.02,10,10,10,12,4,21
1030,94,85,75,72,70,64,87,66,44,29.94,10,10,10,14,5,20
1031,94,84,74,72,70,63,93,69,44,29.86,10,10,10,12,6,23
1032,93,84,75,73,71,66,87,67,47,29.85,10,10,10,13,6,22
1033,92,84,75,74,71,66,94,71,47,29.93,10,10,10,12,5,18
1034,83,74,65,70,61,44,93,60,26,30.07,10,10,10,17,7,29
1035,77,65,53,47,45,41,71,50,28,30.23,10,10,10,9,3,15
1036,80,64,47,48,45,41,86,57,27,30.17,10,10,10,9,2,16
1037,84,70,55,62,55,47,86,63,39,30.15,10,10,10,13,3,19
1038,86,77,67,67,64,61,93,71,48,30.19,10,10,10,10,4,16
1039,86,77,67,66,63,59,100,72,44,30.16,10,8,1,10,3,17
1040,87,76,64,66,62,60,93,69,44,30.12,10,10,10,10,2,14
1041,88,76,64,67,62,58,93,68,43,30.16,10,10,10,9,3,14
1042,86,74,61,64,60,57,90,67,44,30.16,10,10,10,12,2,16
1043,86,75,64,65,62,58,93,68,42,30.13,10,10,8,12,2,21
1044,87,76,65,67,63,54,100,67,34,30.11,10,10,8,10,2,14
1045,86,73,60,69,62,58,100,72,44,30.05,10,8,0,12,3,17
1046,91,81,71,73,71,64,100,72,44,29.98,10,9,1,15,5,22
1047,88,81,73,74,72,69,100,78,55,30.06,10,9,5,12,6,17
1048,80,74,68,73,70,66,93,84,74,30.19,10,8,0,16,5,25
1049,73,71,68,67,66,64,93,89,84,30.24,10,9,6,8,4,11
1050,72,68,63,68,66,59,100,91,81,30.22,10,6,1,7,2,12
1051,76,68,59,67,60,57,93,85,76,30.13,10,10,5,12,2,20
1052,71,66,61,69,65,61,100,94,87,30.09,10,5,1,7,2,12
1053,69,66,62,66,64,62,100,92,84,30.16,10,8,2,10,4,16
1054,65,63,60,62,61,58,100,94,87,30.23,10,6,1,10,6,17
1055,71,64,56,58,55,53,90,72,53,30.29,10,10,8,8,3,12
1056,74,65,55,60,57,54,100,79,57,30.25,10,8,2,8,2,12
1057,77,67,57,58,57,54,93,72,50,30.22,10,8,1,9,4,13
1058,76,65,54,58,55,52,93,75,57,30.18,10,10,9,7,2,12
1059,82,69,56,62,58,55,100,74,48,30.09,10,6,0,9,2,16
1060,86,73,59,58,55,51,87,60,32,30.04,10,10,10,8,2,14
1061,86,71,55,57,52,49,86,58,30,29.97,10,10,10,9,3,18
1062,82,70,58,66,61,54,100,74,47,29.9,10,9,1,15,7,26
1063,79,66,52,68,55,31,90,62,34,30.1,10,10,10,17,7,29
1064,63,52,41,33,30,26,67,46,25,30.54,10,10,10,13,5,22
1065,67,51,35,36,32,27,85,55,24,30.35,10,10,10,10,2,15
1066,77,61,44,57,48,36,84,64,43,30.09,10,10,10,13,5,21
1067,76,69,62,69,64,57,97,83,69,29.94,10,9,2,13,5,23
1068,73,62,51,69,54,45,100,71,41,30.11,10,9,2,14,3,24
1069,76,61,46,60,52,45,93,70,46,30.19,10,10,10,8,1,12
1070,66,61,55,60,57,49,97,87,77,30.32,10,10,6,10,4,14
1071,70,62,53,56,51,47,83,69,55,30.31,10,10,10,7,2,9
1072,76,66,56,65,59,51,86,75,64,29.93,10,10,10,14,6,26
1073,79,65,51,66,49,33,84,53,21,29.57,10,10,10,17,6,28
1074,79,64,49,48,42,38,80,53,25,29.67,10,10,10,8,3,12
1075,67,55,42,42,33,26,66,45,24,30.02,10,10,10,13,4,20
1076,69,53,37,43,34,31,85,56,27,30.08,10,10,10,12,3,16
1077,64,58,51,57,49,43,90,77,63,30.05,10,10,5,10,4,17
1078,52,51,49,50,49,47,100,95,89,29.97,10,6,2,12,6,21
1079,53,51,49,49,48,46,93,88,83,30.01,10,8,2,13,6,19
1080,52,50,47,50,48,46,100,95,89,29.85,10,5,1,10,3,17
1081,58,51,43,48,45,43,100,84,67,29.94,10,8,0,17,4,27
1082,56,48,39,48,45,39,100,86,72,30.11,10,7,2,13,3,19
1083,52,44,36,44,31,20,83,68,52,30.49,10,10,9,21,10,32
1084,46,40,33,26,20,16,56,45,34,30.6,10,10,10,12,5,18
1085,52,44,35,50,37,27,96,75,54,30.37,10,8,2,9,3,15
1086,67,59,50,61,55,50,100,91,81,30.04,10,5,0,14,4,25
1087,67,57,46,52,47,41,93,73,52,30.02,10,10,10,10,3,17
1088,77,64,50,60,54,46,100,73,46,30.01,10,7,1,14,4,22
1089,57,50,43,48,43,38,89,78,66,30.18,10,10,7,12,4,17
1090,54,50,45,43,42,40,92,78,63,30.31,10,7,2,12,5,20
1091,67,59,51,61,54,41,96,82,68,29.94,10,8,2,12,5,21
1092,76,55,34,67,59,21,100,80,59,29.78,10,6,2,21,6,35
1093,37,32,26,18,12,10,58,48,38,30.49,10,10,10,21,12,35
1094,45,34,23,17,12,8,59,42,24,30.68,10,10,10,13,5,21
1095,59,47,35,25,20,15,59,40,20,30.46,10,10,10,7,2,11
1096,71,57,43,40,32,25,55,41,27,30.2,10,10,10,12,4,19
1097,68,59,50,40,36,33,63,48,32,30.26,10,10,9,12,4,19
1098,68,60,52,64,54,37,100,74,47,30.1,10,6,0,7,1,10
1099,78,72,65,68,66,64,100,85,69,30.02,10,9,5,17,7,28
1100,80,74,68,67,65,64,90,74,58,29.94,10,10,10,17,9,32
1101,84,77,70,70,69,67,93,74,55,30.11,10,10,7,12,4,20
1102,76,69,62,68,58,47,97,72,46,30.2,10,10,10,7,1,11
1103,83,73,62,67,64,56,93,72,51,30.08,10,9,4,12,3,20
1104,70,60,49,65,27,16,84,51,18,30.38,10,10,10,18,9,30
1105,55,52,49,34,23,18,48,38,27,30.31,10,10,10,12,4,16
1106,77,64,51,61,51,36,90,70,50,29.9,10,10,4,10,3,18
1107,73,63,53,60,52,39,97,74,43,29.85,10,8,0,7,2,0.0
1108,73,64,52,62,54,44,100,79,38,29.85,10,8,1,15,5,25
1109,75,60,44,44,39,31,80,52,24,30.04,10,10,10,12,4,23
